Zeit	spH	spO2	NStirrer	sTR	sCO2	sO2	FAirIn	sVR	Zeit_FG	FGlucose	Zeit_FN	Fstickstoff
04:02:01.162000	7.1	10.3	500.0	22.1	1.9	9.1	9.0	5.1	2024-10-1308:42:17	2.0	2024-10-1308:42:17	1.0
04:04:01.171000	7.1	10.3	500.0	22.2	1.9	9.1	9.0	5.2	2024-10-1308:42:22	2.0	2024-10-1308:42:22	1.0
04:06:01.181000	7.1	10.3	500.0	22.2	1.9	9.1	9.0	5.2	2024-10-1308:42:27	2.0	2024-10-1308:42:27	1.0
04:08:01.190000	7.1	10.3	500.0	22.2	1.9	9.1	9.0	5.3	2024-10-1308:42:32	2.0	2024-10-1308:42:32	1.0
04:10:01.200000	7.1	10.3	500.0	22.2	1.9	9.1	9.0	5.4	2024-10-1308:42:37	2.0	2024-10-1308:42:37	1.0
04:12:01.210000	7.1	10.3	500.0	22.3	1.9	9.1	9.0	5.5	2024-10-1308:42:42	2.0	2024-10-1308:42:42	1.0
04:14:01.219000	7.1	10.3	500.0	22.3	1.9	9.1	9.0	5.6	2024-10-1308:42:47	2.0	2024-10-1308:42:47	1.0
04:16:01.229000	7.1	10.3	500.0	22.3	1.9	9.1	9.0	5.7	2024-10-1308:42:52	2.0	2024-10-1308:42:52	1.0
04:18:01.238000	7.1	10.3	500.0	22.3	1.9	9.1	9.0	5.7	2024-10-1308:42:57	2.0	2024-10-1308:42:57	1.0
04:20:01.248000	7.1	10.3	500.0	22.4	1.9	9.1	9.0	5.8	2024-10-1308:43:02	2.0	2024-10-1308:43:02	1.0
04:22:01.258000	7.1	10.3	500.0	22.4	1.9	9.1	9.0	5.9	2024-10-1308:43:07	2.0	2024-10-1308:43:07	1.0
04:24:01.267000	7.1	10.3	500.0	22.4	1.9	9.1	9.0	6.0	2024-10-1308:43:12	2.0	2024-10-1308:43:12	1.0
